WSGI	Web Server Gateway Interface
PEP	Python Enhancement Proposal
FTP	File Transfer Protocol
DNS	Domain Name System
HTTP	Hypertext Transfer Protocol
IMAP	Internet Message Access Protocol
LDAP	Lightweight Directory Access Protocol
NTP	Network Time Protocol
POP	Post Office Protocol
SMTP	Simple Mail Transfer Protocol
SSH	Secure Shell
TLS	Transport Layer Security
SSL	Secure Sockets Layer
TCP	Transmission Control Protocol
UDP	User Datagram Protocol
IP	Internet Protocol
ARP	Address Resolution Protocol
PPP	Point-to-Point Protocol
MAC	medium access control or media access control
OSI model	Open Systems Interconnection model
DSL	Digital subscriber line (originally digital subscriber loop)A family of technologies that are used to transmit digital data over telephone lines
ADSL	Asymmetric digital subscriber line
IEEE	Institute of Electrical and Electronics Engineers
USB	Universal Serial Bus
RS (e.g. RS-232)	Recommended Standard, an early prefix used for electronic standards (e.g. RS-232) now maintained by the Electronic Industries Alliance
MIME	Multipurpose Internet Mail Extensions
NFS	Network File SystemA distributed file system protocol originally developed by Sun Microsystems in 1984, allowing a user on a client computer to access files over a computer network much like local storage is accessed
DHCP	Dynamic Host Configuration Protocol
SCSI	Small Computer System Interface
Python ABC	Abstract Base Classes
BDFL	Benevolent Dictator For Life
EAFP	Easier to ask for forgiveness than permission.
GIL	global interpreter lock
LBYL	Look before you leap. This coding style explicitly tests for pre-conditions before making calls or lookups. This style contrasts with the EAFP approach and is characterized by the presence of many if statements.
MRO	method resolution order
Eindämmung der Migration	Control of migration
Kreisen der Bundesregierung	Circles of the federal government
Vertreter	Representative
gesellschaft	society
Der <strong>Wüstenstaat</strong> Algerien	The desert state of Algeria
Gebiet	area
Es gelang ihnen	They succeeded
Grenzzaun	Border fence
Knochenbrüchen	Bone fractures
überwiegend	mostly
verlangt	required
Bezugsdauer des Arbeitslosengelds I.	duration
Betroffenen	Affected persons
Erwerbslose	Unemployed
Leistung	benefit
Verwirrung	confusion
Verwirrung um Trumps <strong>Äußerungen</strong> über Schweden:	Confusion about trumps <strong>remarks</strong> about Sweden:
angeblichen Flüchtlingsvorfall	Alleged refugee incident
Botschaft	Embassy
Kurzmitteilungsdienst Twitter	Short message service Twitter
Fernsehsender	TV station
<strong>Zusammenhang</strong> zwischen der Einwanderung und Terror-Anschlägen	<strong>Link</strong> between immigration and terrorist attacks
Rede vor Anhängern	Speech before supporters
Rechtfertigung seiner restriktiven Einwanderungspolitik	Justifying its restrictive immigration policy
Anschuldigungen	accusations
<strong>Ermittlungen</strong> zum Tod von Kim Jong Nam	<strong>Investigations</strong> into the death of Kim Jong Nam
<strong>Verschwörung</strong> mit "feindlichen Mächten"	<strong>Conspiracy</strong> with "enemy powers"
<strong>Ruf</strong> Nordkoreas schädigen zu wollen	wanting to harm the <strong>reputation</strong> of North Korea
Pence als <em>Redner</em> bei Münchner Sicherheitskonferenz	speaker
der <em>Stellvertreter</em> des neuen US-Präsidenten Donald Trump	deputy
Verteidigungsministerin	secreatry of defence
So sei eine <em>Lastenteilung</em> unter NATO-Partnern mehr als eine Frage des Geldes	burden sharing
das sei <em>zuallererst</em> das Prinzip	first of all
füreinander einzustehen, <em>ohne Wenn und Aber</em>	without if and but
US-Verteidigungsminister James Mattis <em>bemühte sich</em>	tried hard
Zweifel	doubt
Bündnisfestigkeit zu zerstreuen	to dispel [rozwiać obawy co do] alliance strength
Merkel und Guterres <em>betonen Bedeutung</em> der UN	stress the meaning of
weltweiter <em>Verunsicherung</em>	uncertainty
übereinstimmen	to agree
Notwendigkeit	necessity
Fluchtursachen	causes of flight
Vierter <em>Verdächtiger</em> nach Mord an Kims Halbbruder <em>in Haft</em>	suspect... in custody
Menschenrechtsbeauftragte	human rigts commissioner
Abschiebestopp	deportation stop
Vielmehr seien neue Ansätze in der Integrationspolitik gefordert	Rather, new approaches to integration policy are required
Vorgehen der Staatsmacht	action of the state power
deutlich mehr	significantly more
insgesamt 5700	a total of 5700
die umstrittene Verfassungsreform	the controversial constitutional reform
knapp 1800 Anträge	nearly 1800 applications
Ministerpräsident	prime minister
Abstimmen	to vote
What is official short description for SQLAlchemy?	SQLAlchemy is the Python SQL toolkit and Object Relational Mapper that gives application developers the full power and flexibility of SQL.
SQLAlchemy is most famous for its object-relational mapper (ORM), an optional component that provides the data mapper pattern. What is data mapper pattern?	Classes can be mapped to the database in open ended, multiple ways - allowing the object model and database schema to develop in a cleanly decoupled way from the beginning.
Who is the original author of SQLAlchemy?	Michael Bayer
When was SQLAlchemy first released?	February 14, 2006
What license is SQLAlchemy?	MIT License
Michael Bayer is the original author of SQLAlchemy, what other library is he famous for?	Mako templates
What is SQLAlchemy Core?	The Core is itself a fully featured SQL abstraction toolkit, providing a smooth layer of abstraction over a wide variety of DBAPI implementations and behaviors, as well as a SQL Expression Language which allows expression of the SQL language via generative Python expressions. A schema representation system that can both emit DDL statements as well as introspect existing schemas, and a type system that allows any mapping of Python types to database types, rounds out the system. The Object Relational Mapper is then an optional package which builds upon the Core
What is DBAPI?	Python Database API, defined in PEP 249. Defined to encourage similarity between the Python modules that are used to access databases.
